銀行,活期利率,活期儲蓄利率,1月(%),2月(%),3月(%),4月(%),5月(%),6月(%),7月(%),8月(%),9月(%),10月(%),11月(%),1年(%),2年(%),3年(%),定期儲蓄1年(%),定期儲蓄2年(%),定期儲蓄3年(%)
中華開發工業銀行,0.170,0.170,0.880,0.880,0.950,0.950,0.950,1.120,1.120,1.120,1.230,1.230,1.230,1.350,1.380,1.390,1.390,1.390,1.390
斐商標準銀行,-,-,0.580,0.580,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800
大眾銀行,0.050,0.160,0.600,0.720,0.720,0.630,0.630,0.770,0.770,0.770,0.880,0.880,0.880,1.035,1.035,1.035,1.050,1.065,1.105
三信商業銀行,0.080,0.200,0.600,0.600,0.660,0.660,0.660,0.780,0.780,0.780,0.900,0.900,0.900,1.035,1.040,1.060,1.070,1.075,1.095
台中商業銀行,0.080,0.220,0.600,0.600,0.660,0.660,0.660,0.795,0.795,0.795,0.910,0.910,0.910,1.045,1.070,1.070,1.090,1.095,1.095
台灣中小企銀,0.080,0.230,0.600,0.600,0.660,0.660,0.660,0.770,0.770,0.770,0.880,0.880,0.880,1.045,1.070,1.070,1.090,1.095,1.095
星展(臺灣)商業銀行,0.070,0.120,0.560,0.580,0.660,0.660,0.660,0.770,0.770,0.770,0.770,0.770,0.770,1.015,1.015,1.015,1.040,1.040,1.040
板信商業銀行,0.060,0.170,0.600,0.600,0.660,0.660,0.660,0.795,0.795,0.795,0.910,0.910,0.910,1.050,1.060,1.060,1.100,1.110,1.120
中華郵政股份有限公司,0.080,0.200,0.590,0.590,0.650,0.650,0.650,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,1.040,1.040,1.040
安泰銀行,0.100,0.190,0.600,0.600,0.650,0.650,0.650,0.780,0.780,0.780,0.900,0.900,0.900,1.040,1.050,1.050,1.050,1.080,1.080
聯邦銀行,0.050,0.150,0.590,0.590,0.650,0.650,0.650,0.750,0.750,0.750,0.880,0.880,0.880,1.040,1.080,1.085,1.070,1.090,1.100
華泰商業銀行,0.040,0.150,0.600,0.600,0.650,0.650,0.650,0.780,0.780,0.780,0.910,0.910,0.910,1.040,1.042,1.065,1.070,1.090,1.115
遠東銀行,0.100,0.200,0.600,0.600,0.650,0.650,0.650,0.800,0.800,0.800,0.910,0.910,0.910,1.045,1.060,1.060,1.070,1.070,1.070
凱基銀行,0.060,0.160,0.600,0.600,0.640,0.640,0.640,0.750,0.750,0.750,0.890,0.890,0.890,1.030,1.030,1.030,1.050,1.060,1.080
台灣工業銀行,0.080,0.080,0.600,0.600,0.640,0.640,0.640,0.780,0.780,0.780,0.890,0.890,0.890,1.040,1.050,1.060,1.060,1.060,1.060
元大商業銀行,0.050,0.160,0.600,0.600,0.630,0.630,0.630,0.770,0.770,0.770,0.880,0.880,0.880,1.035,1.035,1.035,1.050,1.065,1.105
台新銀行,0.060,0.160,0.600,0.600,0.630,0.630,0.630,0.750,0.750,0.750,0.900,0.900,0.900,1.025,1.010,1.010,1.050,1.040,1.040
新光銀行,0.050,0.100,0.600,0.600,0.630,0.630,0.630,0.790,0.790,0.790,0.900,0.900,0.900,1.035,1.040,1.065,1.070,1.075,1.110
永豐商業銀行,0.070,0.150,0.580,0.580,0.630,0.630,0.630,0.740,0.740,0.740,0.880,0.880,0.880,1.010,1.020,1.030,1.080,1.090,1.100
陽信商銀,0.030,0.120,0.600,0.600,0.630,0.630,0.630,0.795,0.795,0.795,0.910,0.910,0.910,1.035,1.040,1.065,1.075,1.080,1.120
玉山銀行,0.010,0.090,0.590,0.590,0.620,0.620,0.620,0.740,0.740,0.740,0.880,0.880,0.880,1.035,1.020,1.030,1.050,1.050,1.060
中國信託銀行,0.010,0.050,0.540,0.540,0.600,0.570,0.570,0.720,0.720,0.720,0.830,0.830,0.830,1.015,1.000,1.000,1.040,1.025,1.050
京城商業銀行,0.040,0.150,0.560,0.560,0.600,0.600,0.600,0.730,0.730,0.730,0.840,0.840,0.840,1.030,1.050,1.120,1.070,1.050,1.120
日盛國際商業銀行,0.080,0.200,0.560,0.560,0.600,0.600,0.600,0.750,0.750,0.750,0.850,0.850,0.850,1.000,1.020,1.030,1.020,1.050,1.080
匯豐（台灣）商業銀行,0.020,0.020,0.500,0.500,0.560,0.560,0.560,0.690,0.690,0.690,0.810,0.810,0.810,0.920,1.000,1.000,1.000,1.000,1.000
澳商澳盛銀行,0.010,0.010,0.500,0.350,0.550,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.550,0.650,0.750,0.750,0.750,0.750
荷商安智銀行,-,-,0.450,0.470,0.550,0.500,0.500,0.550,0.550,0.550,0.580,0.580,0.580,0.600,0.600,0.600,0.600,0.600,0.600
彰化商業銀行,0.020,0.080,0.350,0.350,0.410,0.410,0.410,0.520,0.520,0.520,0.630,0.630,0.630,0.790,0.800,0.800,0.820,0.845,0.845
第一商業銀行,0.020,0.080,0.350,0.350,0.410,0.410,0.410,0.520,0.520,0.520,0.630,0.630,0.630,0.795,0.820,0.820,0.800,0.845,0.845
華南商業銀行,0.020,0.080,0.350,0.350,0.410,0.410,0.410,0.520,0.520,0.520,0.630,0.630,0.630,0.795,0.820,0.820,0.840,0.845,0.845
臺灣土地銀行,0.050,0.150,0.350,0.350,0.400,0.400,0.400,0.535,0.535,0.535,0.620,0.620,0.620,0.745,0.750,0.765,0.780,0.785,0.810
全國農業金庫,0.040,0.110,0.340,0.340,0.390,0.390,0.390,0.490,0.490,0.490,0.540,0.540,0.540,0.675,0.720,0.730,0.685,0.730,0.740
合作金庫銀行,0.040,0.100,0.350,0.350,0.390,0.390,0.390,0.525,0.525,0.525,0.620,0.620,0.610,0.755,0.765,0.775,0.780,0.790,0.805
上海商業儲蓄銀行,0.050,0.120,0.350,0.350,0.380,0.380,0.380,0.540,0.540,0.540,0.650,0.650,0.650,0.760,0.780,0.790,0.800,0.820,0.820
台北富邦銀行,0.005,0.050,0.320,0.320,0.380,0.380,0.380,0.540,0.540,0.540,0.670,0.670,0.670,0.775,0.790,0.805,0.800,0.815,0.855
臺灣銀行,0.040,0.100,0.350,0.350,0.380,0.380,0.380,0.535,0.535,0.535,0.650,0.650,0.650,0.755,0.760,0.765,0.790,0.795,0.815
高雄銀行,0.020,0.080,0.340,0.340,0.380,0.630,0.630,0.510,0.510,0.510,0.660,0.660,0.660,0.760,0.770,0.780,0.790,0.800,0.810
兆豐國際商業銀行,0.020,0.100,0.340,0.340,0.370,0.370,0.370,0.530,0.530,0.530,0.660,0.660,0.660,0.765,0.780,0.790,0.790,0.800,0.810
國泰世華商業銀行,0.010,0.030,0.330,0.330,0.370,0.370,0.370,0.500,0.500,0.500,0.620,0.620,0.620,0.770,0.775,0.790,0.790,0.800,0.830
菲律賓首都銀行,-,-,0.260,0.260,0.340,0.340,0.340,0.520,0.520,0.520,0.610,0.610,0.610,0.810,0.860,0.910,0.910,0.910,0.910
法國巴黎銀行,-,-,0.250,0.280,0.280,0.290,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.460,0.460,0.570,0.610,0.650
花旗(台灣)商業銀行,0.010,0.010,0.340,0.240,0.270,0.270,0.270,0.400,0.400,0.400,0.550,0.550,0.550,0.660,0.670,0.690,0.690,0.690,0.690
加拿大商豐業銀行,-,-,0.200,0.200,0.250,0.250,0.250,0.300,0.300,0.300,0.320,0.320,0.320,0.350,0.350,0.350,0.350,0.350,0.350
香港商東亞銀行,0.070,0.070,0.200,0.200,0.210,0.210,0.210,0.260,0.260,0.260,0.290,0.290,0.290,0.340,0.350,0.350,0.350,0.350,0.350
法國東方匯理銀行,-,-,0.250,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250
泰國盤谷銀行,-,-,0.100,0.150,0.180,0.200,0.200,0.250,0.250,0.250,0.300,0.300,0.300,0.350,0.350,0.350,0.350,0.350,0.350
日商三井住友銀行,-,-,0.170,0.170,0.170,0.170,0.200,0.200,0.200,0.200,0.300,0.300,0.300,0.200,0.200,0.200,0.200,0.200,0.200
日商三菱東京日聯銀行,-,-,0.150,0.150,0.170,0.170,0.170,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200
美國紐約銀行,0.100,0.100,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150
日商瑞穗銀行台北分行,-,-,0.130,0.130,0.130,0.130,0.130,0.130,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200
新加坡大華銀行,-,-,0.050,0.050,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
美商富國銀行,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
法商興業銀行,0.010,0.010,0.050,0.050,0.050,0.080,0.080,0.080,0.100,0.100,0.100,0.100,0.100,0.120,0.120,0.120,0.120,0.120,0.120
新加坡華僑銀行,-,-,0.010,0.010,0.020,0.020,0.020,0.030,0.030,0.030,0.030,0.030,0.030,0.050,0.050,0.050,0.050,0.050,0.050
渣打國際商業銀行,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.700,0.880,0.930
美商摩根大通銀行,-,-,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
美國商業銀行,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.020,0.020,0.020,0.030,0.090,0.090,0.090,0.090,0.090
瑞士商瑞士銀行,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
美商道富銀行,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
