SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,ImportDate
基隆,基隆市,44,,良好,0.2,0.21,0.2,49,48,21,11,2.5,3.3,0.8,2.6,79,2021/9/17 16:00,11,19,0,121.760056,25.129167,1,44:01.4
汐止,新北市,37,,良好,1.9,0.22,0.2,34.9,40,28,14,15.1,17.2,2.1,1.3,24,2021/9/17 16:00,11,22,1,121.6423,25.067131,2,44:01.4
萬里,新北市,48,,良好,0.1,0.2,0.1,57.7,52,52,12,3.2,4.1,0.8,3.5,78,2021/9/17 16:00,9,39,0,121.689881,25.179667,3,44:01.4
新店,新北市,58,臭氧八小時,普通,1.5,0.35,0.3,48,57,21,12,12.3,14,1.7,2.6,187,2021/9/17 16:00,14,26,1,121.537778,24.977222,4,44:01.4
土城,新北市,74,臭氧八小時,普通,0,0.34,0.4,51.3,62,21,21,14.9,15.9,0.9,1.3,157,2021/9/17 16:00,19,32,0,121.451861,24.982528,5,44:01.4
板橋,新北市,80,臭氧八小時,普通,1.6,0.49,0.5,,64,25,22,24.3,26.7,2.3,1.3,147,2021/9/17 16:00,20,34,1,121.458667,25.012972,6,44:01.4
新莊,新北市,84,臭氧八小時,普通,1.6,0.39,0.4,49.6,65,32,22,18.2,19.7,1.4,1,167,2021/9/17 16:00,22,39,2,121.4325,25.037972,7,44:01.4
菜寮,新北市,63,細懸浮微粒,普通,1.8,0.43,0.5,29.9,54,22,18,,,,3.1,146,2021/9/17 16:00,20,27,1,121.481028,25.06895,8,44:01.4
林口,新北市,67,臭氧八小時,普通,1.8,0.36,0.3,44.3,60,29,18,19.3,22.2,2.9,2.8,120,2021/9/17 16:00,20,34,1,121.376869,25.077197,9,44:01.4
淡水,新北市,54,細懸浮微粒,普通,1.6,0.26,0.3,43.8,48,35,19,12,12.8,0.8,1.5,160,2021/9/17 16:00,16,27,1,121.449239,25.1645,10,44:01.4
士林,臺北市,57,細懸浮微粒,普通,2.7,0.25,0.3,37.5,54,23,16,15.8,17.7,1.8,2.7,99,2021/9/17 16:00,18,32,1,121.515389,25.105417,11,44:01.4
中山,臺北市,57,細懸浮微粒,普通,3.1,0.57,0.6,21.7,41,24,21,31.4,37.4,6,2,118,2021/9/17 16:00,18,27,1,121.526528,25.062361,12,44:01.4
萬華,臺北市,57,細懸浮微粒,普通,2,0.44,0.5,30.2,51,25,15,27.9,30.9,3,1.7,106,2021/9/17 16:00,18,27,1,121.507972,25.046503,13,44:01.4
古亭,臺北市,52,細懸浮微粒,普通,0.9,0.38,0.4,37.4,54,21,16,19.4,21.4,1.9,1.8,131,2021/9/17 16:00,15,24,0,121.529556,25.020608,14,44:01.4
松山,臺北市,44,,良好,1.8,0.3,0.3,31.7,37,23,18,20.6,24.7,4.1,1.7,32,2021/9/17 16:00,13,25,1,121.578611,25.05,15,44:01.4
大同,臺北市,68,細懸浮微粒,普通,3.4,1.51,1.6,10.4,33,41,25,46,91.6,45.6,-,-,2021/9/17 16:00,22,38,2,121.513311,25.0632,16,44:01.4
桃園,桃園市,80,臭氧八小時,普通,2.3,0.43,0.4,57.3,64,29,22,17.9,19.4,1.5,1.3,73,2021/9/17 16:00,22,38,2,121.3087222,24.98677778,17,44:01.4
大園,桃園市,87,臭氧八小時,普通,2,0.24,0.2,62.2,66,33,15,9.8,11.3,1.5,3,28,2021/9/17 16:00,19,34,2,121.201811,25.060344,18,44:01.4
觀音,桃園市,101,臭氧八小時,對敏感族群不健康,0.6,0.16,0.2,65,71,24,19,4.2,4.6,0.3,3,40,2021/9/17 16:00,22,33,1,121.082761,25.035503,19,44:01.4
平鎮,桃園市,87,臭氧八小時,普通,1.6,0.36,0.3,67,66,31,23,13.4,15.2,1.8,2.9,89,2021/9/17 16:00,25,38,1,121.203986,24.952786,20,44:01.4
龍潭,桃園市,90,臭氧八小時,普通,,0.33,0.3,68.2,67,16,18,,,,2,112,2021/9/17 16:00,21,30,1,121.21635,24.863869,21,44:01.4
湖口,新竹縣,100,臭氧八小時,普通,1.7,0.26,0.2,86.4,70,38,27,4.8,5.2,0.4,2.5,37,2021/9/17 16:00,23,34,1,121.038653,24.900142,22,44:01.4
竹東,新竹縣,62,細懸浮微粒,普通,0.8,0.3,0.2,62.7,58,39,24,9.2,9.6,0.3,1.4,105,2021/9/17 16:00,20,31,0,121.088903,24.740644,23,44:01.4
新竹,新竹市,77,臭氧八小時,普通,0.5,0.32,0.3,84.5,63,45,27,6.6,7.1,0.5,1.5,57,2021/9/17 16:00,22,34,0,120.972075,24.805619,24,44:01.4
頭份,苗栗縣,93,臭氧八小時,普通,2.4,0.33,0.3,85.4,68,42,31,5.8,8,2.2,3.1,346,2021/9/17 16:00,25,38,2,120.898572,24.696969,25,44:01.4
苗栗,苗栗縣,84,臭氧八小時,普通,2,0.24,0.2,78.2,65,42,25,5.1,6.1,1,2.5,28,2021/9/17 16:00,20,32,1,120.8202,24.565269,26,44:01.4
三義,苗栗縣,93,臭氧八小時,普通,2.2,0.27,0.2,78.1,68,34,19,4.9,6.2,1.2,3.2,8,2021/9/17 16:00,20,35,1,120.758833,24.382942,27,44:01.4
豐原,臺中市,100,臭氧八小時,普通,3.1,0.32,0.3,75.1,70,39,26,8.1,9.1,1,3.3,329,2021/9/17 16:00,26,39,1,120.741711,24.256586,28,44:01.4
沙鹿,臺中市,104,臭氧八小時,對敏感族群不健康,1.9,0.21,0.2,77.1,72,31,18,5.1,6.7,1.6,3.5,351,2021/9/17 16:00,22,38,2,120.568794,24.225628,29,44:01.4
大里,臺中市,100,臭氧八小時,普通,4.4,0.37,0.3,88.2,70,49,29,12.9,14.3,1.4,2.9,343,2021/9/17 16:00,28,45,2,120.6784444,24.09961111,30,44:01.4
忠明,臺中市,90,臭氧八小時,普通,3.1,0.41,0.4,73,67,34,20,17.5,19.7,2.1,3.5,306,2021/9/17 16:00,25,41,2,120.641092,24.151958,31,44:01.4
西屯,臺中市,72,細懸浮微粒,普通,3.7,0.23,0.3,73.9,60,42,21,,,,3.3,347,2021/9/17 16:00,24,48,3,120.616917,24.162197,32,44:01.4
彰化,彰化縣,97,臭氧八小時,普通,2.1,0.19,0.2,72.7,69,46,22,10.5,11.9,1.4,2.5,339,2021/9/17 16:00,22,40,2,120.541519,24.066,33,44:01.4
線西,彰化縣,100,臭氧八小時,普通,1.5,0.2,0.2,79.5,70,38,20,2.6,3.6,1,3.3,16,2021/9/17 16:00,20,43,1,120.469061,24.131672,34,44:01.4
二林,彰化縣,71,臭氧八小時,普通,2.1,0.23,0.2,70.3,61,40,24,1.6,3.4,1.7,2.4,329,2021/9/17 16:00,21,41,1,120.409653,23.925175,35,44:01.4
南投,南投縣,81,細懸浮微粒,普通,2.6,0.3,0.2,84.9,62,50,36,7.9,9.3,1.3,2,335,2021/9/17 16:00,27,38,2,120.685306,23.913,36,44:01.4
斗六,雲林縣,87,臭氧八小時,普通,1.9,0.24,0.2,71.4,66,39,24,4.8,5.9,1,2.6,328,2021/9/17 16:00,23,33,1,120.544994,23.711853,37,44:01.4
崙背,雲林縣,65,細懸浮微粒,普通,2.9,0.19,0.2,63,56,29,21,5.5,6.8,1.3,2.3,294,2021/9/17 16:00,21,32,2,120.348742,23.757547,38,44:01.4
新港,嘉義縣,57,細懸浮微粒,普通,2.4,0.19,0.2,53.6,47,43,19,3.7,4.6,0.8,3.3,294,2021/9/17 16:00,18,29,2,120.345531,23.554839,39,44:01.4
朴子,嘉義縣,47,,良好,1.9,0.18,0.2,59.9,51,24,12,3.3,4.7,1.4,2.5,313,2021/9/17 16:00,12,22,2,120.2478111,23.46712222,40,44:01.4
臺西,雲林縣,51,臭氧八小時,普通,1.8,0.16,0.1,67.8,55,23,14,4.1,5.5,1.4,1.9,323,2021/9/17 16:00,13,23,0,120.1993333,23.702175,41,44:01.4
嘉義,嘉義市,68,細懸浮微粒,普通,,,0.2,56.3,50,34,22,,,,3.2,330,2021/9/17 16:00,22,32,2,120.4408333,23.462778,42,44:01.4
新營,臺南市,57,細懸浮微粒,普通,1,0.22,0.2,60.7,56,25,14,3.8,5.3,1.4,2.4,289,2021/9/17 16:00,17,29,2,120.31725,23.305633,43,44:01.4
善化,臺南市,54,臭氧八小時,普通,1.4,0.14,0.1,55.1,56,19,10,5.9,6.6,0.6,3,266,2021/9/17 16:00,13,23,2,120.297142,23.115097,44,44:01.4
安南,臺南市,48,,良好,1,0.18,0.2,52.5,52,16,9,,,,3.1,294,2021/9/17 16:00,10,22,2,120.2175,23.048197,45,44:01.4
臺南,臺南市,47,,良好,0.5,0.17,0.2,47.1,51,14,9,2.7,4.1,1.3,2.7,260,2021/9/17 16:00,11,20,2,120.202617,22.984581,46,44:01.4
美濃,高雄市,44,,良好,2.1,0.26,0.2,74.2,47,24,19,4.2,4.8,0.5,2,260,2021/9/17 16:00,13,22,1,120.530542,22.883583,47,44:01.4
橋頭,高雄市,34,,良好,0.7,0.12,0.2,33.1,37,11,5,0.9,2.2,1.3,3.5,259,2021/9/17 16:00,9,18,1,120.305689,22.757506,48,44:01.4
仁武,高雄市,34,,良好,2.3,0.14,0.2,32.9,37,10,10,7,9.1,2.1,2.7,267,2021/9/17 16:00,10,19,3,120.332631,22.689056,49,44:01.4
鳳山,高雄市,52,細懸浮微粒,普通,1.5,0.33,0.3,25.5,33,12,10,11.1,15.2,4.1,1.2,272,2021/9/17 16:00,15,16,4,120.358083,22.627392,50,44:01.4
大寮,高雄市,31,,良好,1.5,0.1,0.1,22.8,33,17,5,5.2,6.5,1.3,2.9,215,2021/9/17 16:00,6,18,1,120.425311,22.56413611,51,44:01.4
林園,高雄市,29,,良好,0.6,0.1,0.1,26.1,31,7,5,1.2,2.3,1.1,2.6,209,2021/9/17 16:00,6,12,1,120.41175,22.4795,52,44:01.4
楠梓,高雄市,35,,良好,1.3,0.18,0.2,33.4,38,19,5,3.3,4.5,1.2,2.8,290,2021/9/17 16:00,9,20,2,120.328289,22.733667,53,44:01.4
左營,高雄市,31,,良好,1.6,0.12,0.2,28.1,34,12,5,2.5,3.7,1.1,1.6,235,2021/9/17 16:00,8,18,3,120.292917,22.674861,54,44:01.4
前金,高雄市,27,,良好,0.7,0.11,0.1,29.8,29,0,3,3.3,4.7,1.3,3.2,225,2021/9/17 16:00,6,8,2,120.288086,22.632567,56,44:01.4
前鎮,高雄市,25,,良好,1.9,0.19,0.2,27.5,27,14,3,8,11.3,3.3,1.6,173,2021/9/17 16:00,6,14,2,120.307564,22.605386,57,44:01.4
小港,高雄市,28,,良好,2,0.12,0.1,23.3,22,10,3,7.6,10.3,2.7,1.1,61,2021/9/17 16:00,8,16,6,120.337736,22.565833,58,44:01.4
屏東,屏東縣,51,臭氧八小時,普通,3.8,0.24,0.2,47.6,55,26,12,9.5,10.5,1,3.8,186,2021/9/17 16:00,15,29,1,120.488033,22.673081,59,44:01.4
潮州,屏東縣,36,,良好,0.8,0.12,0.1,23.1,39,7,1,3.2,5,1.7,3.7,242,2021/9/17 16:00,6,13,0,120.561175,22.523108,60,44:01.4
恆春,屏東縣,23,,良好,1.3,0.08,0,21.5,25,6,0,1.1,1.4,0.3,2.3,117,2021/9/17 16:00,2,6,1,120.788928,21.958069,61,44:01.4
臺東,臺東縣,33,,良好,1.5,0.18,0.2,36.1,36,11,5,3.3,5.3,1.9,1.6,122,2021/9/17 16:00,6,14,1,121.15045,22.755358,62,44:01.4
花蓮,花蓮縣,37,,良好,0.8,0.22,0.1,45.3,40,12,7,2.7,3.1,0.3,2.4,82,2021/9/17 16:00,7,14,0,121.599769,23.971306,63,44:01.4
陽明,臺北市,55,細懸浮微粒,普通,0.4,0.22,0.2,52.1,45,22,15,1.6,1.9,0.3,,,2021/9/17 16:00,17,20,0,121.529583,25.182722,64,44:01.4
宜蘭,宜蘭縣,39,,良好,1.6,0.22,0.2,48.3,42,17,10,3.9,4.5,0.5,2.2,73,2021/9/17 16:00,10,18,1,121.746394,24.747917,65,44:01.4
冬山,宜蘭縣,32,,良好,0.6,0.21,0.2,36.9,35,13,7,9.7,12.7,2.9,2,51,2021/9/17 16:00,8,18,0,121.792928,24.632203,66,44:01.4
三重,新北市,66,細懸浮微粒,普通,3.1,1.1,1.1,15.3,28,27,23,40.7,82.7,42,-,-,2021/9/17 16:00,21,35,1,121.493806,25.072611,67,44:01.4
中壢,桃園市,82,細懸浮微粒,普通,1.9,1.06,0.9,36.5,40,39,27,40.8,55.9,15.1,1.3,285,2021/9/17 16:00,28,40,1,121.221667,24.953278,68,44:01.4
竹山,南投縣,74,細懸浮微粒,普通,1.7,0.23,0.1,72.3,62,41,32,7.1,8,0.9,1.9,348,2021/9/17 16:00,24,34,1,120.677306,23.756389,69,44:01.4
永和,新北市,65,細懸浮微粒,普通,1,0.54,0.9,34,43,23,20,20.8,25.1,4.2,1.1,110,2021/9/17 16:00,21,28,0,121.516306,25.017,70,44:01.4
復興,高雄市,23,,良好,0.4,0.22,0.2,26,25,9,2,4.3,5.6,1.3,1.2,268,2021/9/17 16:00,5,15,2,120.312017,22.608711,71,44:01.4
埔里,南投縣,56,細懸浮微粒,普通,1.8,0.27,0.2,84,52,38,31,4.5,5.5,1,3.9,281,2021/9/17 16:00,17,26,1,120.967903,23.968842,72,44:01.4
馬祖,連江縣,58,臭氧八小時,普通,0.8,0.18,0.1,60.3,57,19,8,4.3,7.3,2.9,0.3,243,2021/9/17 16:00,9,17,0,119.949875,26.160469,75,44:01.4
金門,金門縣,67,臭氧八小時,普通,1.3,0.19,0.2,63.5,60,27,13,1.8,2.5,0.6,3.3,132,2021/9/17 16:00,18,29,1,118.312256,24.432133,77,44:01.4
馬公,澎湖縣,58,臭氧八小時,普通,1,0.18,0.2,55.2,57,16,8,2.1,3,0.8,1.9,303,2021/9/17 16:00,11,20,1,119.566158,23.569031,78,44:01.4
關山,臺東縣,26,,良好,1.4,-,-,32.8,28,11,8,1.6,2.3,0.6,1.9,212,2021/9/17 16:00,4,14,1,121.161933,23.045083,80,44:01.4
麥寮,雲林縣,71,臭氧八小時,普通,4.1,0.21,0.2,59.6,61,29,17,9.8,11,1.2,2.1,326,2021/9/17 16:00,16,29,2,120.251825,23.753506,83,44:01.4
富貴角,新北市,54,臭氧八小時,普通,0.2,0.18,0.1,61.1,56,24,8,0.5,0.5,0,5.8,90,2021/9/17 16:00,11,39,0,121.54738,25.29228,84,44:01.4
大城,彰化縣,77,臭氧八小時,普通,2.1,0.16,0.1,78,63,31,22,0.5,1.7,1.2,3.2,346,2021/9/17 16:00,19,30,1,120.2696417,23.85493056,85,44:01.4
湖內,高雄市,43,,良好,2.1,0.14,0.2,41.5,46,3,7,1,2.4,1.4,1.7,84,2021/9/17 16:00,10,16,3,120.24535,22.87985556,202,44:01.4
臺南(麻豆),臺南市,47,,良好,1,0.17,0.2,54.8,51,24,12,4.3,5.8,1.5,1.7,356,2021/9/17 16:00,14,27,2,120.2458306,23.17904722,203,44:01.4
屏東(琉球),屏東縣,22,,良好,0.4,0.16,0.1,22.3,,9,9,1.8,2.8,1,1,177,2021/9/17 16:00,6,13,0,120.37722,22.35222,204,44:01.4
新北(樹林),新北市,67,細懸浮微粒,普通,0.7,0.41,0.4,47.8,52,26,21,25.5,27.2,1.7,0.1,203,2021/9/17 16:00,22,33,0,121.3835278,24.94902778,311,44:01.4
臺南(學甲),臺南市,41,,良好,0.3,0.21,0.2,44.6,44,21,9,8.6,14.9,6.3,2.4,300,2021/9/17 16:00,12,23,1,120.1833972,23.23688056,312,44:01.4
屏東(建興),屏東縣,31,,良好,2.7,0.09,0.1,23,33,5,0,1.4,1.8,0.4,0.2,116,2021/9/17 16:00,5,9,0,121.0037917,22.650525,313,44:01.4
